PERIOD,LEAD_SOURCE,LEAD_COUNT
2023-01-28,Ring 2,0
2023-01-28,Roku,1
2023-01-28,VOXR,1
2023-01-28,Youtube,12
2023-01-28,Regal,2
2023-01-29,Barrington,5
2023-01-29,Channel Edge,0
2023-01-29,Google,11
2023-01-29,Lucent,3
2023-01-29,O2C,0
2023-01-29,Other,2
2023-01-29,Policy Chat,0
2023-01-29,Ring 2,3
2023-01-29,Roku,1
2023-01-29,VOXR,0
2023-01-29,Youtube,9
2023-01-29,Regal,2
2023-01-30,Barrington,8
2023-01-30,Channel Edge,1
2023-01-30,Google,17
2023-01-30,Lucent,2
2023-01-30,O2C,2
2023-01-30,Other,13
2023-01-30,Policy Chat,0
2023-01-30,Ring 2,3
2023-01-30,Roku,3
2023-01-30,VOXR,0
2023-01-30,Youtube,5
2023-01-30,Regal,1
2023-01-31,Barrington,6
2023-01-31,Channel Edge,1
2023-01-31,Google,8
2023-01-31,Lucent,0
2023-01-31,O2C,3
2023-01-31,Other,1
2023-01-31,Policy Chat,0
2023-01-31,Ring 2,2
2023-01-31,Roku,3
2023-01-31,VOXR,0
2023-01-31,Youtube,6
2023-01-31,Regal,1
2023-02-01,Barrington,10
2023-02-01,Channel Edge,1
2023-02-01,Google,13
2023-02-01,Lucent,0
2023-02-01,O2C,4
2023-02-01,Other,1
2023-02-01,Policy Chat,0
2023-02-01,Ring 2,6
2023-02-01,Roku,2
2023-02-01,VOXR,1
2023-02-01,Youtube,4
2023-02-01,Regal,1
2023-02-02,Barrington,9
2023-02-02,Channel Edge,4
2023-02-02,Google,12
2023-02-02,Lucent,0
2023-02-02,O2C,3
2023-02-02,Other,1
2023-02-02,Policy Chat,1
2023-02-02,Ring 2,1
2023-02-02,Roku,1
2023-02-02,VOXR,0
2023-02-02,Youtube,6
2023-02-02,Regal,3
2023-02-03,Barrington,4
2023-02-03,Channel Edge,1
2023-02-03,Google,11
2023-02-03,Lucent,1
2023-02-03,O2C,5
2023-02-03,Other,1
2023-02-03,Policy Chat,1
2023-02-03,Ring 2,2
2023-02-03,Roku,5
2023-02-03,VOXR,1
2023-02-03,Youtube,9
2023-02-03,Regal,3
2023-02-04,Barrington,5
2023-02-04,Channel Edge,2
2023-02-04,Google,8
2023-02-04,Lucent,0
2023-02-04,O2C,3
2023-02-04,Other,0
2023-02-04,Policy Chat,0
2023-02-04,Ring 2,3
2023-02-04,Roku,2
2023-02-04,VOXR,0
2023-02-04,Youtube,11
2023-02-04,Regal,3
2023-02-05,Barrington,4
2023-02-05,Channel Edge,4
2023-02-05,Google,7
2023-02-05,Lucent,1
2023-02-05,O2C,5
2023-02-05,Other,3
2023-02-05,Policy Chat,0
2023-02-05,Ring 2,1
2023-02-05,Roku,5
2023-02-05,VOXR,0
2023-02-05,Youtube,6
2023-02-05,Regal,4
2023-02-06,Barrington,7
2023-02-06,Channel Edge,1
2023-02-06,Google,9
2023-02-06,Lucent,0
2023-02-06,O2C,11
2023-02-06,Other,3
2023-02-06,Policy Chat,0
2023-02-06,Ring 2,4
2023-02-06,Roku,4
2023-02-06,VOXR,1
2023-02-06,Youtube,7
2023-02-06,Regal,1
2023-02-07,Barrington,5
2023-02-07,Channel Edge,2
2023-02-07,Google,12
2023-02-07,Lucent,1
2023-02-07,O2C,2
2023-02-07,Other,2
2023-02-07,Policy Chat,1
2023-02-07,Ring 2,3
2023-02-07,Roku,1
2023-02-07,VOXR,1
2023-02-07,Youtube,4
2023-02-07,Regal,4
2023-02-08,Barrington,6
2023-02-08,Channel Edge,0
2023-02-08,Google,18
2023-02-08,Lucent,0
2023-02-08,O2C,8
2023-02-08,Other,2
2023-02-08,Policy Chat,0
2023-02-08,Ring 2,5
2023-02-08,Roku,3
2023-02-08,VOXR,1
2023-02-08,Youtube,18
2023-02-08,Regal,1
2023-02-09,Barrington,10
2023-02-09,Channel Edge,1
2023-02-09,Google,9
2023-02-09,Lucent,4
2023-02-09,O2C,11
2023-02-09,Other,4
2023-02-09,Policy Chat,1
2023-02-09,Ring 2,1
2023-02-09,Roku,1
2023-02-09,VOXR,0
2023-02-09,Youtube,22
2023-02-09,Regal,0
2023-02-10,Barrington,12
2023-02-10,Channel Edge,0
2023-02-10,Google,12
2023-02-10,Lucent,2
2023-02-10,O2C,2
2023-02-10,Other,2
2023-02-10,Policy Chat,0
2023-02-10,Ring 2,2
2023-02-10,Roku,5
2023-02-10,VOXR,1
2023-02-10,Youtube,6
2023-02-10,Regal,5
2023-02-11,Barrington,6
2023-02-11,Channel Edge,1
2023-02-11,Google,7
2023-02-11,Lucent,1
2023-02-11,O2C,4
2023-02-11,Other,4
2023-02-11,Policy Chat,1
2023-02-11,Ring 2,1
2023-02-11,Roku,4
2023-02-11,VOXR,2
2023-02-11,Youtube,5
2023-02-11,Regal,1
2023-02-12,Barrington,9
2023-02-12,Channel Edge,1
2023-02-12,Google,8
2023-02-12,Lucent,4
2023-02-12,O2C,5
2023-02-12,Other,4
2023-02-12,Policy Chat,0
2023-02-12,Ring 2,4
2023-02-12,Roku,2
2023-02-12,VOXR,0
2023-02-12,Youtube,4
2023-02-12,Regal,3
2023-02-13,Barrington,22
2023-02-13,Channel Edge,1
2023-02-13,Google,8
2023-02-13,Lucent,1
2023-02-13,O2C,4
2023-02-13,Other,3
2023-02-13,Policy Chat,0
2023-02-13,Ring 2,2
2023-02-13,Roku,2
2023-02-13,VOXR,0
2023-02-13,Youtube,3
2023-02-13,Regal,0
2023-02-14,Barrington,5
2023-02-14,Channel Edge,2
2023-02-14,Google,7
2023-02-14,Lucent,1
2023-02-14,O2C,4
2023-02-14,Other,5
2023-02-14,Policy Chat,0
2023-02-14,Ring 2,2
2023-02-14,Roku,0
2023-02-14,VOXR,0
2023-02-14,Youtube,6
2023-02-14,Regal,1
2023-02-15,Barrington,8
2023-02-15,Channel Edge,0
2023-02-15,Google,9
2023-02-15,Lucent,0
2023-02-15,O2C,6
2023-02-15,Other,4
2023-02-15,Policy Chat,0
2023-02-15,Ring 2,6
2023-02-15,Roku,1
2023-02-15,VOXR,0
2023-02-15,Youtube,26
2023-02-15,Regal,0
2023-02-16,Barrington,18
2023-02-16,Channel Edge,2
2023-02-16,Google,9
2023-02-16,Lucent,0
2023-02-16,O2C,4
2023-02-16,Other,3
2023-02-16,Policy Chat,3
2023-02-16,Ring 2,1
2023-02-16,Roku,0
2023-02-16,VOXR,0
2023-02-16,Youtube,3
2023-02-16,Regal,1
2023-02-17,Barrington,6
2023-02-17,Channel Edge,3
2023-02-17,Google,14
2023-02-17,Lucent,1
2023-02-17,O2C,4
2023-02-17,Other,2
2023-02-17,Policy Chat,0
2023-02-17,Ring 2,1
2023-02-17,Roku,2
2023-02-17,VOXR,0
2023-02-17,Youtube,6
2023-02-17,Regal,2
2023-02-18,Barrington,6
2023-02-18,Channel Edge,7
2023-02-18,Google,13
2023-02-18,Lucent,1
2023-02-18,O2C,10
2023-02-18,Other,3
2023-02-18,Policy Chat,0
2023-02-18,Ring 2,1
2023-02-18,Roku,1
2023-02-18,VOXR,0
2023-02-18,Youtube,11
2023-02-18,Regal,3
2023-02-19,Barrington,11
2023-02-19,Channel Edge,3
2023-02-19,Google,18
2023-02-19,Lucent,0
2023-02-19,O2C,4
2023-02-19,Other,1
2023-02-19,Policy Chat,0
2023-02-19,Ring 2,5
2023-02-19,Roku,1
2023-02-19,VOXR,1
2023-02-19,Youtube,7
2023-02-19,Regal,2
2023-02-20,Barrington,3
2023-02-20,Channel Edge,1
2023-02-20,Google,15
2023-02-20,Lucent,2
2023-02-20,O2C,5
2023-02-20,Other,1
2023-02-20,Policy Chat,2
2023-02-20,Ring 2,1
2023-02-20,Roku,4
2023-02-20,VOXR,1
2023-02-20,Youtube,5
2023-02-20,Regal,3
2023-02-21,Barrington,9
2023-02-21,Channel Edge,1
2023-02-21,Google,9
2023-02-21,Lucent,3
2023-02-21,O2C,4
2023-02-21,Other,0
2023-02-21,Policy Chat,0
2023-02-21,Ring 2,3
2023-02-21,Roku,0
2023-02-21,VOXR,0
2023-02-21,Youtube,6
2023-02-21,Regal,1
2023-02-22,Barrington,11
2023-02-22,Channel Edge,1
2023-02-22,Google,9
2023-02-22,Lucent,2
2023-02-22,O2C,6
2023-02-22,Other,3
2023-02-22,Policy Chat,0
2023-02-22,Ring 2,0
2023-02-22,Roku,2
2023-02-22,VOXR,1
2023-02-22,Youtube,3
2023-02-22,Regal,1
2023-02-23,Barrington,6
2023-02-23,Channel Edge,3
2023-02-23,Google,9
2023-02-23,Lucent,1
2023-02-23,O2C,3
2023-02-23,Other,2
2023-02-23,Policy Chat,1
2023-02-23,Ring 2,4
2023-02-23,Roku,2
2023-02-23,VOXR,2
2023-02-23,Youtube,9
2023-02-23,Regal,2
2023-02-24,Barrington,5
2023-02-24,Channel Edge,2
2023-02-24,Google,9
2023-02-24,Lucent,3
2023-02-24,O2C,4
2023-02-24,Other,1
2023-02-24,Policy Chat,1
2023-02-24,Ring 2,1
2023-02-24,Roku,1
2023-02-24,VOXR,0
2023-02-24,Youtube,6
2023-02-24,Regal,1
2023-02-25,Barrington,6
2023-02-25,Channel Edge,2
2023-02-25,Google,7
2023-02-25,Lucent,1
2023-02-25,O2C,4
2023-02-25,Other,3
2023-02-25,Policy Chat,1
2023-02-25,Ring 2,2
2023-02-25,Roku,2
2023-02-25,VOXR,0
2023-02-25,Youtube,12
2023-02-25,Regal,1
2023-02-26,Barrington,4
2023-02-26,Channel Edge,2
2023-02-26,Google,12
2023-02-26,Lucent,0
2023-02-26,O2C,7
2023-02-26,Other,7
2023-02-26,Policy Chat,4
2023-02-26,Ring 2,6
2023-02-26,Roku,3
2023-02-26,VOXR,3
2023-02-26,Youtube,9
2023-02-26,Regal,0
2023-02-27,Barrington,5
2023-02-27,Channel Edge,3
2023-02-27,Google,9
2023-02-27,Lucent,0
2023-02-27,O2C,6
2023-02-27,Other,5
2023-02-27,Policy Chat,1
2023-02-27,Ring 2,6
2023-02-27,Roku,2
2023-02-27,VOXR,1
2023-02-27,Youtube,6
2023-02-27,Regal,3
2023-02-28,Barrington,6
2023-02-28,Channel Edge,1
2023-02-28,Google,6
2023-02-28,Lucent,2
2023-02-28,O2C,5
2023-02-28,Other,7
2023-02-28,Policy Chat,0
2023-02-28,Ring 2,3
2023-02-28,Roku,2
2023-02-28,VOXR,1
2023-02-28,Youtube,5
2023-02-28,Regal,3
2023-03-01,Barrington,10
2023-03-01,Channel Edge,2
2023-03-01,Google,13
2023-03-01,Lucent,0
2023-03-01,O2C,6
2023-03-01,Other,2
2023-03-01,Policy Chat,0
2023-03-01,Ring 2,2
2023-03-01,Roku,4
2023-03-01,VOXR,1
2023-03-01,Youtube,10
2023-03-01,Regal,0
2023-03-02,Barrington,4
2023-03-02,Channel Edge,1
2023-03-02,Google,11
2023-03-02,Lucent,0
2023-03-02,O2C,2
2023-03-02,Other,4
2023-03-02,Policy Chat,0
2023-03-02,Ring 2,3
2023-03-02,Roku,2
2023-03-02,VOXR,0
2023-03-02,Youtube,7
2023-03-02,Regal,0
2023-03-03,Barrington,1
2023-03-03,Channel Edge,1
2023-03-03,Google,11
2023-03-03,Lucent,1
2023-03-03,O2C,6
2023-03-03,Other,1
2023-03-03,Policy Chat,1
2023-03-03,Ring 2,1
2023-03-03,Roku,1
2023-03-03,VOXR,1
2023-03-03,Youtube,8
2023-03-03,Regal,1
2023-03-04,Barrington,6
2023-03-04,Channel Edge,2
2023-03-04,Google,10
2023-03-04,Lucent,3
2023-03-04,O2C,6
2023-03-04,Other,4
2023-03-04,Policy Chat,0
2023-03-04,Ring 2,4
2023-03-04,Roku,0
2023-03-04,VOXR,2
2023-03-04,Youtube,5
2023-03-04,Regal,2
2023-03-05,Barrington,7
2023-03-05,Channel Edge,0
2023-03-05,Google,6
2023-03-05,Lucent,0
2023-03-05,O2C,4
2023-03-05,Other,3
2023-03-05,Policy Chat,4
2023-03-05,Ring 2,1
2023-03-05,Roku,3
2023-03-05,VOXR,0
2023-03-05,Youtube,11
2023-03-05,Regal,3
2023-03-06,Barrington,6
2023-03-06,Channel Edge,0
2023-03-06,Google,12
2023-03-06,Lucent,4
2023-03-06,O2C,6
2023-03-06,Other,4
2023-03-06,Policy Chat,0
2023-03-06,Ring 2,2
2023-03-06,Roku,2
2023-03-06,VOXR,5
2023-03-06,Youtube,4
2023-03-06,Regal,1
2023-03-07,Barrington,0
2023-03-07,Channel Edge,4
2023-03-07,Google,10
2023-03-07,Lucent,1
2023-03-07,O2C,4
2023-03-07,Other,1
2023-03-07,Policy Chat,1
2023-03-07,Ring 2,0
2023-03-07,Roku,2
2023-03-07,VOXR,2
2023-03-07,Youtube,9
2023-03-07,Regal,2
2023-03-08,Barrington,6
2023-03-08,Channel Edge,2
2023-03-08,Google,7
2023-03-08,Lucent,7
2023-03-08,O2C,5
2023-03-08,Other,4
2023-03-08,Policy Chat,1
2023-03-08,Ring 2,2
2023-03-08,Roku,1
2023-03-08,VOXR,1
2023-03-08,Youtube,6
2023-03-08,Regal,4
2023-03-09,Barrington,3
2023-03-09,Channel Edge,6
2023-03-09,Google,11
2023-03-09,Lucent,2
2023-03-09,O2C,4
2023-03-09,Other,1
2023-03-09,Policy Chat,1
2023-03-09,Ring 2,2
2023-03-09,Roku,1
2023-03-09,VOXR,2
2023-03-09,Youtube,4
2023-03-09,Regal,2
2023-03-10,Barrington,10
2023-03-10,Channel Edge,0
2023-03-10,Google,4
2023-03-10,Lucent,1
2023-03-10,O2C,10
2023-03-10,Other,8
2023-03-10,Policy Chat,0
2023-03-10,Ring 2,5
2023-03-10,Roku,2
2023-03-10,VOXR,0
2023-03-10,Youtube,18
2023-03-10,Regal,4
2023-03-11,Barrington,1
2023-03-11,Channel Edge,0
2023-03-11,Google,17
2023-03-11,Lucent,2
2023-03-11,O2C,6
2023-03-11,Other,5
2023-03-11,Policy Chat,5
2023-03-11,Ring 2,4
2023-03-11,Roku,4
2023-03-11,VOXR,1
2023-03-11,Youtube,9
2023-03-11,Regal,1
2023-03-12,Barrington,5
2023-03-12,Channel Edge,1
2023-03-12,Google,6
2023-03-12,Lucent,5
2023-03-12,O2C,4
2023-03-12,Other,2
2023-03-12,Policy Chat,3
2023-03-12,Ring 2,2
2023-03-12,Roku,2
2023-03-12,VOXR,2
2023-03-12,Youtube,4
2023-03-12,Regal,1
2023-03-13,Barrington,6
2023-03-13,Channel Edge,6
2023-03-13,Google,4
2023-03-13,Lucent,1
2023-03-13,O2C,5
2023-03-13,Other,4
2023-03-13,Policy Chat,3
2023-03-13,Ring 2,2
2023-03-13,Roku,1
2023-03-13,VOXR,0
2023-03-13,Youtube,13
2023-03-13,Regal,8
2023-03-14,Barrington,6
2023-03-14,Channel Edge,0
2023-03-14,Google,9
2023-03-14,Lucent,1
2023-03-14,O2C,13
2023-03-14,Other,3
2023-03-14,Policy Chat,1
2023-03-14,Ring 2,5
2023-03-14,Roku,0
2023-03-14,VOXR,3
2023-03-14,Youtube,0
2023-03-14,Regal,2
2023-03-15,Barrington,6
2023-03-15,Channel Edge,6
2023-03-15,Google,3
2023-03-15,Lucent,2
2023-03-15,O2C,8
2023-03-15,Other,1
2023-03-15,Policy Chat,2
2023-03-15,Ring 2,2
2023-03-15,Roku,1
2023-03-15,VOXR,0
2023-03-15,Youtube,7
2023-03-15,Regal,0
2023-03-16,Barrington,4
2023-03-16,Channel Edge,2
2023-03-16,Google,12
2023-03-16,Lucent,0
2023-03-16,O2C,4
2023-03-16,Other,2
2023-03-16,Policy Chat,2
2023-03-16,Ring 2,3
2023-03-16,Roku,2
2023-03-16,VOXR,2
2023-03-16,Youtube,9
2023-03-16,Regal,3
2023-03-17,Barrington,20
2023-03-17,Channel Edge,2
2023-03-17,Google,7
2023-03-17,Lucent,1
2023-03-17,O2C,13
2023-03-17,Other,3
2023-03-17,Policy Chat,1
2023-03-17,Ring 2,2
2023-03-17,Roku,3
2023-03-17,VOXR,0
2023-03-17,Youtube,3
2023-03-17,Regal,2
2023-03-18,Barrington,2
2023-03-18,Channel Edge,5
2023-03-18,Google,11
2023-03-18,Lucent,2
2023-03-18,O2C,20
2023-03-18,Other,3
2023-03-18,Policy Chat,2
2023-03-18,Ring 2,2
2023-03-18,Roku,2
2023-03-18,VOXR,3
2023-03-18,Youtube,6
2023-03-18,Regal,4
2023-03-19,Barrington,7
2023-03-19,Channel Edge,1
2023-03-19,Google,5
2023-03-19,Lucent,0
2023-03-19,O2C,7
2023-03-19,Other,1
2023-03-19,Policy Chat,1
2023-03-19,Ring 2,4
2023-03-19,Roku,1
2023-03-19,VOXR,1
2023-03-19,Youtube,0
2023-03-19,Regal,4
2023-03-20,Barrington,7
2023-03-20,Channel Edge,5
2023-03-20,Google,8
2023-03-20,Lucent,2
2023-03-20,O2C,9
2023-03-20,Other,6
2023-03-20,Policy Chat,2
2023-03-20,Ring 2,1
2023-03-20,Roku,1
2023-03-20,VOXR,1
2023-03-20,Youtube,7
2023-03-20,Regal,0
2023-03-21,Barrington,8
2023-03-21,Channel Edge,1
2023-03-21,Google,8
2023-03-21,Lucent,2
2023-03-21,O2C,10
2023-03-21,Other,4
2023-03-21,Policy Chat,1
2023-03-21,Ring 2,5
2023-03-21,Roku,5
2023-03-21,VOXR,1
2023-03-21,Youtube,12
2023-03-21,Regal,2
2023-03-22,Barrington,4
2023-03-22,Channel Edge,2
2023-03-22,Google,5
2023-03-22,Lucent,0
2023-03-22,O2C,5
2023-03-22,Other,2
2023-03-22,Policy Chat,2
2023-03-22,Ring 2,3
2023-03-22,Roku,3
2023-03-22,VOXR,3
2023-03-22,Youtube,6
2023-03-22,Regal,0
2023-03-23,Barrington,5
2023-03-23,Channel Edge,2
2023-03-23,Google,8
2023-03-23,Lucent,1
2023-03-23,O2C,8
2023-03-23,Other,2
2023-03-23,Policy Chat,2
2023-03-23,Ring 2,1
2023-03-23,Roku,1
2023-03-23,VOXR,2
2023-03-23,Youtube,7
2023-03-23,Regal,1
2023-03-24,Barrington,7
2023-03-24,Channel Edge,2
2023-03-24,Google,6
2023-03-24,Lucent,0
2023-03-24,O2C,7
2023-03-24,Other,1
2023-03-24,Policy Chat,0
2023-03-24,Ring 2,1
2023-03-24,Roku,2
2023-03-24,VOXR,3
2023-03-24,Youtube,4
2023-03-24,Regal,0
2023-03-25,Barrington,3
2023-03-25,Channel Edge,1
2023-03-25,Google,39
2023-03-25,Lucent,3
2023-03-25,O2C,9
2023-03-25,Other,4
2023-03-25,Policy Chat,2
2023-03-25,Ring 2,4
2023-03-25,Roku,1
2023-03-25,VOXR,0
2023-03-25,Youtube,8
2023-03-25,Regal,1
