PERIOD,LEAD_SOURCE,SOURCE_SALES,SOURCE_PREMIUM
2023-01-06,Other,0,0.0
2023-01-06,Policy Chat,0,0.0
2023-01-06,Ring 2,0,0.0
2023-01-06,Roku,0,0.0
2023-01-06,VOXR,0,0.0
2023-01-06,Youtube,0,0.0
2023-01-06,Regal,0,0.0
2023-01-07,Barrington,1,307.84
2023-01-07,Channel Edge,0,0.0
2023-01-07,Google,2,330.18
2023-01-07,Lucent,0,0.0
2023-01-07,O2C,1,292.98
2023-01-07,Other,2,369.73
2023-01-07,Policy Chat,1,170.5
2023-01-07,Ring 2,0,0.0
2023-01-07,Roku,0,0.0
2023-01-07,VOXR,0,0.0
2023-01-07,Youtube,0,0.0
2023-01-07,Regal,0,0.0
2023-01-08,Barrington,0,0.0
2023-01-08,Channel Edge,0,0.0
2023-01-08,Google,2,268.74
2023-01-08,Lucent,0,0.0
2023-01-08,O2C,0,0.0
2023-01-08,Other,0,0.0
2023-01-08,Policy Chat,0,0.0
2023-01-08,Ring 2,1,170.95
2023-01-08,Roku,1,223.71
2023-01-08,VOXR,0,0.0
2023-01-08,Youtube,1,139.12
2023-01-08,Regal,0,0.0
2023-01-09,Barrington,0,0.0
2023-01-09,Channel Edge,0,0.0
2023-01-09,Google,3,432.12
2023-01-09,Lucent,0,0.0
2023-01-09,O2C,1,249.93
2023-01-09,Other,0,0.0
2023-01-09,Policy Chat,0,0.0
2023-01-09,Ring 2,0,0.0
2023-01-09,Roku,0,0.0
2023-01-09,VOXR,1,235.29
2023-01-09,Youtube,0,0.0
2023-01-09,Regal,0,0.0
2023-01-10,Barrington,1,239.65
2023-01-10,Channel Edge,0,0.0
2023-01-10,Google,1,138.33
2023-01-10,Lucent,0,0.0
2023-01-10,O2C,3,746.16
2023-01-10,Other,0,0.0
2023-01-10,Policy Chat,0,0.0
2023-01-10,Ring 2,0,0.0
2023-01-10,Roku,1,193.05
2023-01-10,VOXR,1,301.28
2023-01-10,Youtube,0,0.0
2023-01-10,Regal,0,0.0
2023-01-11,Barrington,0,0.0
2023-01-11,Channel Edge,0,0.0
2023-01-11,Google,2,254.36
2023-01-11,Lucent,1,432.84
2023-01-11,O2C,2,650.84
2023-01-11,Other,0,0.0
2023-01-11,Policy Chat,0,0.0
2023-01-11,Ring 2,0,0.0
2023-01-11,Roku,1,205.84
2023-01-11,VOXR,0,0.0
2023-01-11,Youtube,0,0.0
2023-01-11,Regal,0,0.0
2023-01-12,Barrington,1,249.23
2023-01-12,Channel Edge,0,0.0
2023-01-12,Google,1,154.0
2023-01-12,Lucent,0,0.0
2023-01-12,O2C,0,0.0
2023-01-12,Other,0,0.0
2023-01-12,Policy Chat,0,0.0
2023-01-12,Ring 2,0,0.0
2023-01-12,Roku,0,0.0
2023-01-12,VOXR,1,199.91
2023-01-12,Youtube,0,0.0
2023-01-12,Regal,0,0.0
2023-01-13,Barrington,2,565.42
2023-01-13,Channel Edge,0,0.0
2023-01-13,Google,2,340.57
2023-01-13,Lucent,0,0.0
2023-01-13,O2C,1,264.76
2023-01-13,Other,1,180.8
2023-01-13,Policy Chat,0,0.0
2023-01-13,Ring 2,0,0.0
2023-01-13,Roku,0,0.0
2023-01-13,VOXR,0,0.0
2023-01-13,Youtube,1,117.39
2023-01-13,Regal,1,269.9
2023-01-14,Barrington,2,390.56
2023-01-14,Channel Edge,0,0.0
2023-01-14,Google,5,930.32
2023-01-14,Lucent,0,0.0
2023-01-14,O2C,2,426.89
2023-01-14,Other,0,0.0
2023-01-14,Policy Chat,0,0.0
2023-01-14,Ring 2,1,195.32
2023-01-14,Roku,1,170.47
2023-01-14,VOXR,0,0.0
2023-01-14,Youtube,1,167.72
2023-01-14,Regal,2,592.64
2023-01-15,Barrington,1,245.47
2023-01-15,Channel Edge,0,0.0
2023-01-15,Google,6,968.17
2023-01-15,Lucent,1,326.74
2023-01-15,O2C,1,276.29
2023-01-15,Other,0,0.0
2023-01-15,Policy Chat,0,0.0
2023-01-15,Ring 2,1,273.19
2023-01-15,Roku,0,0.0
2023-01-15,VOXR,0,0.0
2023-01-15,Youtube,0,0.0
2023-01-15,Regal,1,251.8
2023-01-16,Barrington,0,0.0
2023-01-16,Channel Edge,0,0.0
2023-01-16,Google,7,1372.68
2023-01-16,Lucent,0,0.0
2023-01-16,O2C,1,207.39
2023-01-16,Other,0,0.0
2023-01-16,Policy Chat,0,0.0
2023-01-16,Ring 2,0,0.0
2023-01-16,Roku,1,184.85
2023-01-16,VOXR,1,225.44
2023-01-16,Youtube,1,161.99
2023-01-16,Regal,0,0.0
2023-01-17,Barrington,2,389.05
2023-01-17,Channel Edge,0,0.0
2023-01-17,Google,2,328.57
2023-01-17,Lucent,0,0.0
2023-01-17,O2C,1,249.91
2023-01-17,Other,1,181.92
2023-01-17,Policy Chat,1,177.7
2023-01-17,Ring 2,0,0.0
2023-01-17,Roku,0,0.0
2023-01-17,VOXR,0,0.0
2023-01-17,Youtube,1,138.02
2023-01-17,Regal,0,0.0
2023-01-18,Barrington,0,0.0
2023-01-18,Channel Edge,0,0.0
2023-01-18,Google,6,1075.31
2023-01-18,Lucent,0,0.0
2023-01-18,O2C,0,0.0
2023-01-18,Other,0,0.0
2023-01-18,Policy Chat,0,0.0
2023-01-18,Ring 2,0,0.0
2023-01-18,Roku,0,0.0
2023-01-18,VOXR,0,0.0
2023-01-18,Youtube,0,0.0
2023-01-18,Regal,1,261.12
2023-01-19,Barrington,0,0.0
2023-01-19,Channel Edge,0,0.0
2023-01-19,Google,2,396.26
2023-01-19,Lucent,0,0.0
2023-01-19,O2C,1,266.47
2023-01-19,Other,1,147.17
2023-01-19,Policy Chat,0,0.0
2023-01-19,Ring 2,0,0.0
2023-01-19,Roku,0,0.0
2023-01-19,VOXR,0,0.0
2023-01-19,Youtube,0,0.0
2023-01-19,Regal,0,0.0
2023-01-20,Barrington,2,520.66
2023-01-20,Channel Edge,0,0.0
2023-01-20,Google,5,905.34
2023-01-20,Lucent,0,0.0
2023-01-20,O2C,1,211.74
2023-01-20,Other,0,0.0
2023-01-20,Policy Chat,1,141.88
2023-01-20,Ring 2,1,159.04
2023-01-20,Roku,0,0.0
2023-01-20,VOXR,0,0.0
2023-01-20,Youtube,2,323.87
2023-01-20,Regal,0,0.0
2023-01-21,Barrington,1,283.52
2023-01-21,Channel Edge,0,0.0
2023-01-21,Google,2,382.86
2023-01-21,Lucent,0,0.0
2023-01-21,O2C,1,272.79
2023-01-21,Other,0,0.0
2023-01-21,Policy Chat,0,0.0
2023-01-21,Ring 2,0,0.0
2023-01-21,Roku,1,199.29
2023-01-21,VOXR,0,0.0
2023-01-21,Youtube,2,287.7
2023-01-21,Regal,0,0.0
2023-01-22,Barrington,0,0.0
2023-01-22,Channel Edge,0,0.0
2023-01-22,Google,4,720.15
2023-01-22,Lucent,1,427.08
2023-01-22,O2C,1,211.54
2023-01-22,Other,2,267.23
2023-01-22,Policy Chat,0,0.0
2023-01-22,Ring 2,2,403.59
2023-01-22,Roku,1,164.81
2023-01-22,VOXR,0,0.0
2023-01-22,Youtube,0,0.0
2023-01-22,Regal,1,214.52
2023-01-23,Barrington,0,0.0
2023-01-23,Channel Edge,0,0.0
2023-01-23,Google,1,155.6
2023-01-23,Lucent,0,0.0
2023-01-23,O2C,2,637.27
2023-01-23,Other,0,0.0
2023-01-23,Policy Chat,0,0.0
2023-01-23,Ring 2,0,0.0
2023-01-23,Roku,1,214.86
2023-01-23,VOXR,0,0.0
2023-01-23,Youtube,0,0.0
2023-01-23,Regal,0,0.0
2023-01-24,Barrington,2,526.55
2023-01-24,Channel Edge,0,0.0
2023-01-24,Google,4,683.05
2023-01-24,Lucent,0,0.0
2023-01-24,O2C,0,0.0
2023-01-24,Other,0,0.0
2023-01-24,Policy Chat,0,0.0
2023-01-24,Ring 2,2,421.97
2023-01-24,Roku,0,0.0
2023-01-24,VOXR,1,302.34
2023-01-24,Youtube,0,0.0
2023-01-24,Regal,0,0.0
2023-01-25,Barrington,0,0.0
2023-01-25,Channel Edge,0,0.0
2023-01-25,Google,5,951.91
2023-01-25,Lucent,1,352.25
2023-01-25,O2C,1,301.4
2023-01-25,Other,1,211.05
2023-01-25,Policy Chat,0,0.0
2023-01-25,Ring 2,1,199.04
2023-01-25,Roku,0,0.0
2023-01-25,VOXR,1,269.3
2023-01-25,Youtube,1,163.42
2023-01-25,Regal,0,0.0
2023-01-26,Barrington,0,0.0
2023-01-26,Channel Edge,0,0.0
2023-01-26,Google,2,321.4
2023-01-26,Lucent,0,0.0
2023-01-26,O2C,1,217.87
2023-01-26,Other,0,0.0
2023-01-26,Policy Chat,1,179.39
2023-01-26,Ring 2,1,181.07
2023-01-26,Roku,0,0.0
2023-01-26,VOXR,1,229.16
2023-01-26,Youtube,1,148.23
2023-01-26,Regal,0,0.0
2023-01-27,Barrington,2,442.58
2023-01-27,Channel Edge,1,261.33
2023-01-27,Google,6,938.67
2023-01-27,Lucent,0,0.0
2023-01-27,O2C,2,431.28
2023-01-27,Other,0,0.0
2023-01-27,Policy Chat,0,0.0
2023-01-27,Ring 2,1,293.7
2023-01-27,Roku,0,0.0
2023-01-27,VOXR,0,0.0
2023-01-27,Youtube,0,0.0
2023-01-27,Regal,0,0.0
2023-01-28,Barrington,0,0.0
2023-01-28,Channel Edge,0,0.0
2023-01-28,Google,7,858.82
2023-01-28,Lucent,0,0.0
2023-01-28,O2C,1,327.5
2023-01-28,Other,0,0.0
2023-01-28,Policy Chat,0,0.0
2023-01-28,Ring 2,0,0.0
2023-01-28,Roku,0,0.0
2023-01-28,VOXR,0,0.0
2023-01-28,Youtube,0,0.0
2023-01-28,Regal,0,0.0
2023-01-29,Barrington,1,190.36
2023-01-29,Channel Edge,0,0.0
2023-01-29,Google,3,514.44
2023-01-29,Lucent,0,0.0
2023-01-29,O2C,0,0.0
2023-01-29,Other,0,0.0
2023-01-29,Policy Chat,1,170.66
2023-01-29,Ring 2,1,209.87
2023-01-29,Roku,0,0.0
2023-01-29,VOXR,0,0.0
2023-01-29,Youtube,0,0.0
2023-01-29,Regal,0,0.0
2023-01-30,Barrington,0,0.0
2023-01-30,Channel Edge,0,0.0
2023-01-30,Google,8,1195.46
2023-01-30,Lucent,0,0.0
2023-01-30,O2C,1,193.41
2023-01-30,Other,2,315.55
2023-01-30,Policy Chat,0,0.0
2023-01-30,Ring 2,1,190.51
2023-01-30,Roku,0,0.0
2023-01-30,VOXR,0,0.0
2023-01-30,Youtube,2,259.04
2023-01-30,Regal,0,0.0
2023-01-31,Barrington,0,0.0
2023-01-31,Channel Edge,0,0.0
2023-01-31,Google,1,198.24
2023-01-31,Lucent,0,0.0
2023-01-31,O2C,1,273.33
2023-01-31,Other,0,0.0
2023-01-31,Policy Chat,0,0.0
2023-01-31,Ring 2,0,0.0
2023-01-31,Roku,0,0.0
2023-01-31,VOXR,0,0.0
2023-01-31,Youtube,1,144.28
2023-01-31,Regal,0,0.0
2023-02-01,Barrington,1,251.48
2023-02-01,Channel Edge,0,0.0
2023-02-01,Google,3,576.31
2023-02-01,Lucent,0,0.0
2023-02-01,O2C,0,0.0
2023-02-01,Other,0,0.0
2023-02-01,Policy Chat,0,0.0
2023-02-01,Ring 2,2,442.74
2023-02-01,Roku,0,0.0
2023-02-01,VOXR,0,0.0
2023-02-01,Youtube,0,0.0
2023-02-01,Regal,0,0.0
2023-02-02,Barrington,0,0.0
2023-02-02,Channel Edge,0,0.0
2023-02-02,Google,5,757.28
2023-02-02,Lucent,1,343.5
2023-02-02,O2C,1,268.32
2023-02-02,Other,1,196.62
2023-02-02,Policy Chat,0,0.0
2023-02-02,Ring 2,0,0.0
2023-02-02,Roku,0,0.0
2023-02-02,VOXR,0,0.0
2023-02-02,Youtube,0,0.0
2023-02-02,Regal,0,0.0
2023-02-03,Barrington,1,237.34
2023-02-03,Channel Edge,0,0.0
2023-02-03,Google,3,467.46
2023-02-03,Lucent,0,0.0
2023-02-03,O2C,1,365.68
2023-02-03,Other,0,0.0
2023-02-03,Policy Chat,1,176.84
2023-02-03,Ring 2,0,0.0
2023-02-03,Roku,0,0.0
2023-02-03,VOXR,0,0.0
2023-02-03,Youtube,0,0.0
2023-02-03,Regal,2,497.4
2023-02-04,Barrington,0,0.0
2023-02-04,Channel Edge,0,0.0
2023-02-04,Google,3,365.92
2023-02-04,Lucent,0,0.0
2023-02-04,O2C,0,0.0
2023-02-04,Other,0,0.0
2023-02-04,Policy Chat,0,0.0
2023-02-04,Ring 2,0,0.0
2023-02-04,Roku,0,0.0
2023-02-04,VOXR,0,0.0
2023-02-04,Youtube,1,126.16
2023-02-04,Regal,0,0.0
2023-02-05,Barrington,0,0.0
2023-02-05,Channel Edge,0,0.0
2023-02-05,Google,3,405.59
2023-02-05,Lucent,0,0.0
2023-02-05,O2C,2,540.23
2023-02-05,Other,2,289.57
2023-02-05,Policy Chat,0,0.0
2023-02-05,Ring 2,0,0.0
2023-02-05,Roku,0,0.0
2023-02-05,VOXR,0,0.0
2023-02-05,Youtube,0,0.0
2023-02-05,Regal,0,0.0
2023-02-06,Barrington,1,181.12
2023-02-06,Channel Edge,0,0.0
2023-02-06,Google,5,876.09
2023-02-06,Lucent,0,0.0
2023-02-06,O2C,3,756.28
2023-02-06,Other,0,0.0
2023-02-06,Policy Chat,0,0.0
2023-02-06,Ring 2,1,302.71
2023-02-06,Roku,0,0.0
2023-02-06,VOXR,0,0.0
2023-02-06,Youtube,0,0.0
2023-02-06,Regal,0,0.0
2023-02-07,Barrington,0,0.0
2023-02-07,Channel Edge,0,0.0
2023-02-07,Google,3,518.9
2023-02-07,Lucent,0,0.0
2023-02-07,O2C,0,0.0
2023-02-07,Other,1,138.42
2023-02-07,Policy Chat,0,0.0
2023-02-07,Ring 2,1,226.08
2023-02-07,Roku,0,0.0
2023-02-07,VOXR,0,0.0
2023-02-07,Youtube,0,0.0
2023-02-07,Regal,0,0.0
2023-02-08,Barrington,0,0.0
2023-02-08,Channel Edge,0,0.0
2023-02-08,Google,3,410.16
2023-02-08,Lucent,1,374.8
2023-02-08,O2C,7,1518.48
2023-02-08,Other,0,0.0
2023-02-08,Policy Chat,0,0.0
2023-02-08,Ring 2,0,0.0
2023-02-08,Roku,0,0.0
2023-02-08,VOXR,1,342.37
2023-02-08,Youtube,1,139.29
2023-02-08,Regal,1,244.89
2023-02-09,Barrington,1,215.68
2023-02-09,Channel Edge,1,205.73
2023-02-09,Google,3,330.32
2023-02-09,Lucent,0,0.0
2023-02-09,O2C,2,512.88
2023-02-09,Other,0,0.0
2023-02-09,Policy Chat,1,142.47
2023-02-09,Ring 2,0,0.0
2023-02-09,Roku,0,0.0
2023-02-09,VOXR,0,0.0
2023-02-09,Youtube,0,0.0
2023-02-09,Regal,0,0.0
2023-02-10,Barrington,0,0.0
2023-02-10,Channel Edge,0,0.0
2023-02-10,Google,3,483.5
2023-02-10,Lucent,0,0.0
2023-02-10,O2C,0,0.0
2023-02-10,Other,0,0.0
2023-02-10,Policy Chat,0,0.0
2023-02-10,Ring 2,0,0.0
2023-02-10,Roku,0,0.0
2023-02-10,VOXR,0,0.0
2023-02-10,Youtube,0,0.0
2023-02-10,Regal,1,242.0
2023-02-11,Barrington,0,0.0
2023-02-11,Channel Edge,0,0.0
2023-02-11,Google,2,306.94
2023-02-11,Lucent,0,0.0
2023-02-11,O2C,2,508.03
2023-02-11,Other,0,0.0
2023-02-11,Policy Chat,0,0.0
2023-02-11,Ring 2,0,0.0
2023-02-11,Roku,0,0.0
2023-02-11,VOXR,1,355.6
2023-02-11,Youtube,0,0.0
2023-02-11,Regal,0,0.0
2023-02-12,Barrington,0,0.0
2023-02-12,Channel Edge,0,0.0
2023-02-12,Google,3,553.67
2023-02-12,Lucent,1,338.07
2023-02-12,O2C,1,262.67
2023-02-12,Other,0,0.0
2023-02-12,Policy Chat,0,0.0
2023-02-12,Ring 2,1,210.0
2023-02-12,Roku,0,0.0
2023-02-12,VOXR,1,292.93
2023-02-12,Youtube,0,0.0
2023-02-12,Regal,0,0.0
2023-02-13,Barrington,1,148.21
2023-02-13,Channel Edge,0,0.0
2023-02-13,Google,4,776.12
2023-02-13,Lucent,0,0.0
2023-02-13,O2C,1,216.23
2023-02-13,Other,1,182.3
2023-02-13,Policy Chat,0,0.0
2023-02-13,Ring 2,0,0.0
2023-02-13,Roku,0,0.0
2023-02-13,VOXR,0,0.0
2023-02-13,Youtube,0,0.0
2023-02-13,Regal,0,0.0
2023-02-14,Barrington,0,0.0
2023-02-14,Channel Edge,0,0.0
2023-02-14,Google,3,588.62
2023-02-14,Lucent,0,0.0
2023-02-14,O2C,0,0.0
2023-02-14,Other,1,116.32
2023-02-14,Policy Chat,1,94.5
2023-02-14,Ring 2,0,0.0
2023-02-14,Roku,0,0.0
2023-02-14,VOXR,0,0.0
2023-02-14,Youtube,0,0.0
2023-02-14,Regal,0,0.0
2023-02-15,Barrington,0,0.0
2023-02-15,Channel Edge,0,0.0
2023-02-15,Google,2,317.2
2023-02-15,Lucent,0,0.0
2023-02-15,O2C,2,485.4
2023-02-15,Other,0,0.0
2023-02-15,Policy Chat,1,137.67
2023-02-15,Ring 2,1,229.12
2023-02-15,Roku,0,0.0
2023-02-15,VOXR,0,0.0
2023-02-15,Youtube,0,0.0
2023-02-15,Regal,0,0.0
2023-02-16,Barrington,2,495.02
2023-02-16,Channel Edge,0,0.0
2023-02-16,Google,3,658.96
2023-02-16,Lucent,0,0.0
2023-02-16,O2C,1,348.35
2023-02-16,Other,2,277.25
2023-02-16,Policy Chat,0,0.0
2023-02-16,Ring 2,0,0.0
2023-02-16,Roku,0,0.0
2023-02-16,VOXR,0,0.0
2023-02-16,Youtube,0,0.0
2023-02-16,Regal,0,0.0
2023-02-17,Barrington,1,295.07
2023-02-17,Channel Edge,0,0.0
2023-02-17,Google,8,1401.9
2023-02-17,Lucent,0,0.0
2023-02-17,O2C,0,0.0
2023-02-17,Other,1,96.49
2023-02-17,Policy Chat,0,0.0
2023-02-17,Ring 2,0,0.0
2023-02-17,Roku,0,0.0
2023-02-17,VOXR,1,319.39
2023-02-17,Youtube,0,0.0
2023-02-17,Regal,1,233.63
2023-02-18,Barrington,0,0.0
2023-02-18,Channel Edge,1,161.73
2023-02-18,Google,5,1096.6
2023-02-18,Lucent,0,0.0
2023-02-18,O2C,3,481.03
2023-02-18,Other,1,128.12
2023-02-18,Policy Chat,0,0.0
2023-02-18,Ring 2,0,0.0
2023-02-18,Roku,0,0.0
2023-02-18,VOXR,0,0.0
2023-02-18,Youtube,0,0.0
2023-02-18,Regal,1,254.87
2023-02-19,Barrington,0,0.0
2023-02-19,Channel Edge,1,172.74
2023-02-19,Google,6,981.98
2023-02-19,Lucent,0,0.0
2023-02-19,O2C,1,237.79
2023-02-19,Other,0,0.0
2023-02-19,Policy Chat,0,0.0
2023-02-19,Ring 2,1,221.79
2023-02-19,Roku,0,0.0
2023-02-19,VOXR,0,0.0
2023-02-19,Youtube,0,0.0
2023-02-19,Regal,1,223.58
2023-02-20,Barrington,1,291.85
2023-02-20,Channel Edge,0,0.0
2023-02-20,Google,2,252.33
2023-02-20,Lucent,0,0.0
2023-02-20,O2C,2,380.75
2023-02-20,Other,0,0.0
2023-02-20,Policy Chat,0,0.0
2023-02-20,Ring 2,0,0.0
2023-02-20,Roku,0,0.0
2023-02-20,VOXR,1,241.87
2023-02-20,Youtube,0,0.0
2023-02-20,Regal,0,0.0
2023-02-21,Barrington,1,208.76
2023-02-21,Channel Edge,0,0.0
2023-02-21,Google,2,242.22
2023-02-21,Lucent,0,0.0
2023-02-21,O2C,0,0.0
2023-02-21,Other,0,0.0
2023-02-21,Policy Chat,0,0.0
2023-02-21,Ring 2,0,0.0
2023-02-21,Roku,0,0.0
2023-02-21,VOXR,0,0.0
2023-02-21,Youtube,0,0.0
2023-02-21,Regal,0,0.0
2023-02-22,Barrington,1,195.64
2023-02-22,Channel Edge,0,0.0
2023-02-22,Google,2,416.12
2023-02-22,Lucent,0,0.0
2023-02-22,O2C,1,275.95
2023-02-22,Other,0,0.0
2023-02-22,Policy Chat,0,0.0
2023-02-22,Ring 2,0,0.0
2023-02-22,Roku,0,0.0
2023-02-22,VOXR,0,0.0
2023-02-22,Youtube,0,0.0
2023-02-22,Regal,0,0.0
2023-02-23,Barrington,0,0.0
2023-02-23,Channel Edge,0,0.0
2023-02-23,Google,2,185.64
2023-02-23,Lucent,0,0.0
2023-02-23,O2C,1,219.65
2023-02-23,Other,0,0.0
2023-02-23,Policy Chat,0,0.0
2023-02-23,Ring 2,0,0.0
2023-02-23,Roku,0,0.0
2023-02-23,VOXR,0,0.0
2023-02-23,Youtube,0,0.0
2023-02-23,Regal,1,271.22
2023-02-24,Barrington,3,704.67
2023-02-24,Channel Edge,0,0.0
2023-02-24,Google,3,483.26
2023-02-24,Lucent,1,357.92
2023-02-24,O2C,2,376.96
2023-02-24,Other,0,0.0
2023-02-24,Policy Chat,0,0.0
2023-02-24,Ring 2,0,0.0
2023-02-24,Roku,0,0.0
2023-02-24,VOXR,1,313.39
2023-02-24,Youtube,0,0.0
2023-02-24,Regal,0,0.0
2023-02-25,Barrington,0,0.0
2023-02-25,Channel Edge,0,0.0
2023-02-25,Google,2,373.77
2023-02-25,Lucent,0,0.0
2023-02-25,O2C,1,308.09
2023-02-25,Other,1,134.64
2023-02-25,Policy Chat,0,0.0
2023-02-25,Ring 2,1,281.45
2023-02-25,Roku,0,0.0
2023-02-25,VOXR,0,0.0
2023-02-25,Youtube,0,0.0
2023-02-25,Regal,0,0.0
2023-02-26,Barrington,0,0.0
2023-02-26,Channel Edge,0,0.0
2023-02-26,Google,5,913.28
2023-02-26,Lucent,0,0.0
2023-02-26,O2C,1,236.31
2023-02-26,Other,0,0.0
2023-02-26,Policy Chat,1,157.04
2023-02-26,Ring 2,0,0.0
2023-02-26,Roku,0,0.0
2023-02-26,VOXR,1,239.0
2023-02-26,Youtube,0,0.0
2023-02-26,Regal,0,0.0
2023-02-27,Barrington,0,0.0
2023-02-27,Channel Edge,0,0.0
2023-02-27,Google,3,525.84
2023-02-27,Lucent,0,0.0
2023-02-27,O2C,3,778.37
2023-02-27,Other,2,270.88
2023-02-27,Policy Chat,0,0.0
2023-02-27,Ring 2,1,202.75
2023-02-27,Roku,0,0.0
2023-02-27,VOXR,1,297.51
2023-02-27,Youtube,0,0.0
2023-02-27,Regal,1,288.58
2023-02-28,Barrington,1,180.44
2023-02-28,Channel Edge,0,0.0
2023-02-28,Google,2,347.65
2023-02-28,Lucent,2,553.93
2023-02-28,O2C,1,262.77
2023-02-28,Other,2,213.09
2023-02-28,Policy Chat,1,165.37
2023-02-28,Ring 2,1,344.52
2023-02-28,Roku,0,0.0
2023-02-28,VOXR,0,0.0
2023-02-28,Youtube,0,0.0
2023-02-28,Regal,1,316.43
2023-03-01,Barrington,3,489.11
2023-03-01,Channel Edge,0,0.0
2023-03-01,Google,5,876.42
2023-03-01,Lucent,0,0.0
2023-03-01,O2C,2,598.37
2023-03-01,Other,0,0.0
2023-03-01,Policy Chat,0,0.0
2023-03-01,Ring 2,1,260.51
2023-03-01,Roku,0,0.0
2023-03-01,VOXR,0,0.0
2023-03-01,Youtube,0,0.0
2023-03-01,Regal,1,227.84
2023-03-02,Barrington,0,0.0
2023-03-02,Channel Edge,0,0.0
2023-03-02,Google,3,631.64
2023-03-02,Lucent,1,242.39
2023-03-02,O2C,0,0.0
2023-03-02,Other,0,0.0
2023-03-02,Policy Chat,0,0.0
2023-03-02,Ring 2,3,708.67
2023-03-02,Roku,0,0.0
2023-03-02,VOXR,0,0.0
2023-03-02,Youtube,1,139.35
2023-03-02,Regal,0,0.0
2023-03-03,Barrington,0,0.0
2023-03-03,Channel Edge,0,0.0
2023-03-03,Google,2,434.21
2023-03-03,Lucent,0,0.0
2023-03-03,O2C,1,273.37
2023-03-03,Other,0,0.0
2023-03-03,Policy Chat,0,0.0
2023-03-03,Ring 2,1,287.92
2023-03-03,Roku,0,0.0
2023-03-03,VOXR,1,386.54
2023-03-03,Youtube,1,176.0
2023-03-03,Regal,0,0.0
2023-03-04,Barrington,2,352.71
2023-03-04,Channel Edge,0,0.0
2023-03-04,Google,1,213.92
2023-03-04,Lucent,0,0.0
2023-03-04,O2C,2,663.88
2023-03-04,Other,2,158.94
2023-03-04,Policy Chat,0,0.0
2023-03-04,Ring 2,0,0.0
2023-03-04,Roku,0,0.0
2023-03-04,VOXR,1,273.75
2023-03-04,Youtube,0,0.0
2023-03-04,Regal,0,0.0
2023-03-05,Barrington,0,0.0
2023-03-05,Channel Edge,0,0.0
2023-03-05,Google,1,204.4
2023-03-05,Lucent,0,0.0
2023-03-05,O2C,1,328.92
2023-03-05,Other,0,0.0
2023-03-05,Policy Chat,3,354.35
2023-03-05,Ring 2,0,0.0
2023-03-05,Roku,0,0.0
2023-03-05,VOXR,0,0.0
2023-03-05,Youtube,0,0.0
2023-03-05,Regal,1,215.21
2023-03-06,Barrington,2,416.68
2023-03-06,Channel Edge,0,0.0
2023-03-06,Google,2,299.27
2023-03-06,Lucent,0,0.0
2023-03-06,O2C,2,646.78
2023-03-06,Other,0,0.0
2023-03-06,Policy Chat,0,0.0
2023-03-06,Ring 2,2,590.59
2023-03-06,Roku,0,0.0
2023-03-06,VOXR,1,292.11
2023-03-06,Youtube,0,0.0
2023-03-06,Regal,0,0.0
